,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides,Life_Evaluation_Avg
Afghanistan,58.278521381,1.852781994,652230.0,327.0,11.448425949333334,-1.4017918,0.16537212790909092,88.007175599,17.972,4462.942953169939,9909.722222222223,31466.177961111112,54.01238780800001,3.7659545735,12.214706188666668,6.514276678479875,0.9005630397763834,60.67456278832048,8.116527141166666,41.529613425,-1.4898475191818183,0.24987700045454544,0.39425779433333336,173.0,13.7,49.975297621428574,11.54606060611111,2.072171,1.1811458551,18763022167.4,-2.595124244727273,0.231126043,-1.6467074155454546,0.16765932472727274,-1.2238837045454547,0.19952848436363635,3.649473349333333,0.581622142,50.55,37.79023266955267,37.8082,7.2248,62.6899,35764888.0,26687436.272727273,-1.199990017909091,0.1313716070909091,6.800399368,2.836825001239777
Albania,42.858164233000004,28.76602737,27400.0,1485.0,35.80173805,-0.5708770236363636,0.1402316,99.95003121900001,39.666666666666664,2320.3157026666668,4887.966666666666,9311.607122222222,104.68956204000001,2.234550632363636,5.374570411181818,5.1461476387,0.9005630397763834,75.059885335,17.915414243999997,23.950788788,-0.053781254,0.2330475842727273,0.627972407,82.0,11.55,76.34089285857144,63.86595196181818,2.5856244999999998,1.2875610905454546,14287264881.0,0.21487725481818182,0.2190533361818182,-0.3695016002727272,0.14643305690909092,0.22186215890909092,0.20303973827272728,3.4579014062,2.7179906899999997,47.6,31.6,11.1918,8.629000000000001,78.3063,2860239.0,1166390.8181818181,0.1262735951818182,0.12364595527272727,3.0341890085,5.025308330535888
Algeria,17.369633416,0.8167863652999999,2381740.7,89.0,7.524812193363636,-0.6156750891818182,0.16358435836363636,99.419138777,0.12888888888888891,1298.0986156666668,154111.63333333333,259689.9601777778,17.101038437,5.1785766008181815,4.178982497727273,6.298484848454546,0.534319997,60.67456278832048,16.28807270553864,26.0776884800252,-0.4932108764545454,0.2170779636363636,0.5298501246666666,157.0,33.09519230769231,53.67005952285714,44.177262077,2.5558268,5.6340234863636365,179965363636.36365,-1.0280061256363637,0.22281144836363637,-0.8389841804545455,0.167383091,-1.2612881334545454,0.22747849327272726,6.9660933495999995,4.332302836666667,30.651509115500915,37.79023266955267,24.267500000000002,4.6264,75.4394,41109601.90909091,11478366.818181818,-0.9431308562727273,0.12286012409090909,1.3801928239,5.419841647783915
Angola,36.681479105,54.985238252,1246700.0,1010.0,16.405144055454546,-1.1729055535454547,0.1599302279090909,42.045212464,52.24,269.14794843333334,26056.266666666666,80693.42328222223,23.864129862000002,18.0967610622,3.2717408022727272,6.782421717090909,0.03229,60.67456278832048,11.530448154875,20.86508374125,-1.0635707759090909,0.211320399,0.36119878266666666,177.0,33.09519230769231,52.431488092857144,23.958184048,2.2428326,2.6137070538181817,89585957733.0,-0.45491552345454545,0.21708828736363636,-1.0662102374545455,0.1664906929090909,-0.8671732111818181,0.2138596432727273,2.699611208818182,1.3027248533333333,54.0,51.3,41.2066,8.6073,60.9893,30282099.454545453,10596589.090909092,-0.9919868761818182,0.12116021790909091,4.464031078333333,4.2156
Argentina,43.646483117,10.602080130000001,2736690.0,591.0,6.098169093090909,-0.3506084078181818,0.13894937263636364,99.801208497,9.72888888888889,3014.2273840000003,176486.6888888889,370240.16154444445,16.004427794,6.523274457568249,-4.056720893545455,6.514276678479875,0.5616099954,60.67456278832048,11.6311327574,24.17992390125,-0.11686352572727272,0.21214362572727274,0.610170483,126.0,88.2,66.43303571428571,73.85403218454546,2.9378208,0.7480634431818182,536144363636.36365,0.03277388763636364,0.21476565290909091,-0.5040974739090909,0.151481363,-0.6190913304545455,0.19688848336363635,5.2502380372,6.2595517888888885,30.651509115500915,41.88,16.1238,7.826099999999999,76.5179,44020582.27272727,3629219.6363636362,0.47295315427272727,0.1239290659090909,5.9439150684,6.278224997838339
Armenia,58.944221988,11.563182296,28470.0,562.0,29.52658144909091,-0.37734343572727275,0.14910116918181818,99.806586578,9.634444444444446,1926.0038693333333,5681.422222222222,9448.598891,100.301475248,3.2388633677272725,10.98516791509091,6.0189904426363645,0.21954799889999999,57.83666482333333,21.068297889,23.680271812,-0.21825052863636366,0.22434575590909092,0.5775749196666666,47.0,13.6,81.99166666714287,61.212351381,2.5096472,4.216519934000001,12553503993.09091,-0.4388131087272727,0.22391663354545457,-0.2544983895454545,0.1517893048181818,0.20867376490909093,0.20868271045454545,2.6126791346363634,1.5647276377777777,27.3875,30.5,13.9445,10.339400000000001,73.9913,2848754.4545454546,1047687.1818181818,-0.2985107445454545,0.13033036218181818,2.3378611341999997,4.827649981180826
Australia,47.300609291,17.327868645,7688132.0,534.0,8.574578400181819,1.7846511928181819,0.14321870827272726,100.0,9.525555555555556,10233.342196666666,390152.86666666664,623793.893988889,3.1680543708999997,2.296516187909091,4.338421475625,3.41625,1.951957524,53.15952924727273,22.444146822727273,27.39383135363636,1.553147381090909,0.23159932554545454,0.7846911639999999,14.0,33.09519230769231,88.25208333428573,88.034344698,3.7568322000000003,1.891354751909091,1444231818181.818,0.9420639980000001,0.20801667727272727,1.7030193261818183,0.15984822545454547,1.8467649221818183,0.22587581918181818,5.2424048425,7.043297555555556,30.651509115500915,34.13333333333333,12.690000000000001,6.529999999999999,82.599268293,24506823.09090909,3446559.1818181816,1.365804217090909,0.13823039818181818,0.9316903551,7.202066648165385
Austria,32.371794474,47.098596703,82520.0,1110.0,28.89943029909091,1.4518392520909091,0.1413904591818182,100.0,34.65222222222222,8471.445243666667,63612.25555555556,76386.37012,105.70310834,2.3805264101818184,5.687135995948968,6.514276678479875,3.0858829975999997,91.50352424,25.768499153,46.380125192,1.5118200020909092,0.2161244030909091,0.7694709556666667,27.0,96.2,89.20154761857142,86.06800932272728,3.9333144000000004,0.7716381558181818,432920000000.0,1.0207448005454545,0.21476565290909091,1.8135781613636366,0.15705514636363638,1.4288823929090908,0.22587581918181818,5.3782480239,7.706327332222222,18.08888888888889,30.43,9.65,9.58,81.405853659,8751641.454545455,3662237.0,1.3936025771818181,0.12652639445454544,0.7392769748,7.13468332862854
Azerbaijan,57.765806913999995,13.242260823999999,82657.9,447.0,22.015926825454546,-0.9558148329999999,0.15205946699999998,100.0,2.048888888888889,2115.8604680000003,32424.155555555557,52731.98007222222,118.20273943,5.6730761837272725,10.081383596909092,10.7679620092,0.20636599960000002,19.506213080000002,13.949925044,25.191778552,-0.21820416572727275,0.23104590045454546,0.601359903,28.0,9.45,66.88178571428571,76.79000073,2.464188,4.482417817090909,56583302327.72727,-0.7281850956363637,0.22391663354545457,-0.669562589090909,0.15423768336363636,-0.3058117417272727,0.2147054889090909,2.912908120636364,1.1743230366666666,30.651509115500915,37.79023266955267,15.48,6.13,71.01559999999999,9804139.181818182,4368148.636363637,-1.4914093776363637,0.1291602830909091,2.0219671916,5.093345469734886
Bahrain,10.624362880000001,0.8122852589,778.1,83.0,53.34819540454546,0.08458770354545454,0.177012915,100.0,0.0,19465.1859,30433.300000000003,49510.57194222222,1791.9801898,1.6838459526363636,8.003771061750001,4.999463888666667,0.101159997,60.67456278832048,16.28807270553864,26.0776884800252,0.4210362109090909,0.23413331663636364,0.6614569283333332,43.0,33.09519230769231,54.00053571428572,95.387679898,3.1754274,4.080227406090909,35471361532.90909,-0.8370560893636363,0.22344749081818183,0.40252708854545455,0.1759035898181818,0.6446303833636363,0.22846914554545456,2.5270604545454542,2.760150783333333,30.651509115500915,37.79023266955267,14.481100000000001,2.0825,79.41159999999999,1401898.0,150979.36363636365,-1.3850421471818182,0.13811906354545453,0.38810812229999997,6.130358347256979
