,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides,Life_Evaluation_Avg
Finland,7.473509848400001,73.668543524,303914.77,536.0,23.22134571181818,2.190093603909091,0.1423017761818182,100.0,42.88777777777778,15483.349396666668,44333.85555555556,56474.19091222223,18.065976302000003,1.631558257181818,5.687135995948968,6.514276678479875,2.9600319864,60.67456278832048,20.543806464,39.296403541,1.9677595875454548,0.2168957616363636,0.8081616723333332,20.0,34.3,90.07041666571429,89.63490679818182,3.952756,1.441688595090909,266427000000.0,1.0641601409090908,0.2147656529090909,2.0136064617272726,0.1572322371818182,1.8292549847272723,0.2258758191818181,6.664244890099999,7.499981402222223,16.41111111111111,27.25,9.53,9.8,81.490731707,5496481.818181818,806450.8181818182,1.574878150909091,0.1265263944545454,1.5136737,7.652558340390524
Denmark,65.728455,15.53758,40000.0,703.0,43.00103815818182,2.260382587181818,0.1412645131818181,100.0,32.80222222222223,5978.928614333333,34045.822222222225,48410.75772666666,143.3066175,1.5583853594545454,5.687135995948968,6.514276678479875,2.9589089871,60.67456278832048,34.071467653,39.132182454,1.86875818,0.2161244030909091,0.7666422163333334,4.0,119.9,85.76779761857142,96.53801039272729,3.941662800000001,1.256075383,348690454545.4545,0.9121635663636364,0.2147656529090909,1.8902290624545453,0.1570551463636363,1.7072168914545456,0.2258758191818181,7.2309023379,8.725787353,17.244444444444444,28.15,10.44,9.34,80.912195121,5747789.454545454,703157.0909090909,1.567224882,0.126535654090909,1.0204224427,7.584549986839295
Iceland,18.630949733,0.4881809083,100482.0,1940.0,36.93794715272728,1.7886569174545457,0.1697359315454545,100.0,79.56777777777778,53944.82915333333,1787.1999999999998,2996.0792247777777,3.4168909607000004,3.4082728220000003,3.062490913818182,2.455614494272728,2.1825188662222224,108.95461192909092,23.98831158,33.970000964545456,1.4746224229999998,0.2318461036363636,0.7429043219999999,26.0,33.09519230769231,79.17857142857143,98.334748367,3.3914936,2.0076874856998908,21631938787.0,1.344197436,0.2193361263636363,1.6633423675454544,0.1696863891818181,1.3143527616363635,0.2478980219999999,7.666172552099999,6.958845186,12.2,26.683333333333334,12.7,6.44,82.737804877,346890.0,21542.36363636364,1.3826712802727272,0.1501440474545454,0.6033340011,7.507958326021829
Norway,2.7024216146,33.297958137,364969.139,1414.0,20.856908885454544,2.1476589767272727,0.1539505382727272,100.0,58.67111111111111,23625.93513333333,38832.52222222222,48723.842006666666,14.352991392000002,2.5384036771818184,-1.2835430986999998,6.514276678479875,1.9347580195,60.67456278832048,23.456160274,37.776126093,1.864698952,0.2389931339090909,0.7701953356666666,9.0,33.09519230769231,88.36970238,96.68806443636365,3.7540812,1.6332646232727273,455842818181.8182,1.1555487459090907,0.2147656529090909,1.9419907330909087,0.1615481892727272,1.667720317818182,0.2272259821818181,7.4639232635,8.552821017,15.08888888888889,27.15,10.92,7.83,82.471463415,5258205.090909091,953841.7272727272,1.7083284854545455,0.1394330073636363,0.5623435891999999,7.456999993006388
Switzerland,38.303919023,31.816352351,39510.2295,1537.0,36.39253445818181,2.029215801727273,0.1686271659090909,100.0,23.80777777777778,7737.773048666667,39230.12222222222,48495.18811111111,212.13441958,0.1838519688181818,2.589709137363636,6.514276678479875,3.1171700002,20.074890684,9.5571787363,17.417933182000002,1.9719327039090908,0.2315993255454545,0.7630742526666667,36.0,33.09519230769231,87.78934523714285,90.010530163,3.9262254,0.7047402238181818,728834545454.5454,1.287581509,0.2193361263636363,1.8502034275454544,0.1696351901818181,1.7225182923636362,0.2478980219999999,5.0018463136,3.589958005555556,30.651509115500915,32.82222222222222,10.27,8.05,83.325365855,8417319.272727273,2204346.0,1.56856901,0.1501288198181818,0.5677358614,7.42374165058136
Netherlands,54.261153924,10.921626944,33679.0,778.0,38.89245037,1.9258290204545452,0.1409337359090909,100.0,6.663333333333333,6807.758648666667,151508.87077777777,179344.89764444446,507.96597848,2.411221834818182,0.196786379,6.514276678479875,2.1674900056000004,60.67456278832048,22.17135062,40.139495957,1.7852229530909092,0.2161244030909091,0.7976512073333334,42.0,77.4,87.01767857142856,92.26381046272728,4.075062399999999,1.268237989818182,887716090909.091,0.9266729409090908,0.2147656529090909,1.791601029181818,0.1570551463636363,1.8295092366363637,0.2258758191818181,5.3475690842,6.964261373333333,16.333333333333332,27.82,10.07,8.85,81.56926829300001,17161632.636363637,1549762.9090909092,1.5319994796363636,0.1265263944545454,0.6728100342000001,7.40757501856486
Sweden,7.4090526958,68.72179573700001,407311.2322,624.0,26.277214767272724,2.1303878697272727,0.141160648090909,100.0,51.29111111111112,13880.044406666668,37979.31111111111,50070.782,24.506896034,1.6512701397272729,5.687135995948968,6.514276678479875,3.3037359714,44.111136487,27.194196225999995,32.58916993,1.6916432597272726,0.2161244030909091,0.799289024,10.0,30.3,89.76755952428572,92.88280515181818,4.0131884,1.116750655909091,559171818181.8182,1.0102840769090908,0.2147656529090909,1.8497841574545453,0.1570551463636363,1.796467715909091,0.2258758191818181,7.5238181591,9.225283198888889,18.166666666666668,29.04,11.5,9.19,82.401707318,10027829.727272728,1289721.181818182,1.5736775615454546,0.1252180222727272,1.0250588738000002,7.355041657447814
Israel,27.189001847,6.8706099813,21640.0,435.0,21.19861923,0.8353781648181818,0.1693798262727272,100.0,3.935555555555556,6831.83119,65325.566666666666,87408.05472555554,399.02218114,0.8880967752727272,1.9427168258,3.0652104691,4.6781710147,60.67456278832048,22.88084052,36.263147045,1.2486515043636364,0.2315993255454545,0.753353254,35.0,33.09519230769231,78.69172619000001,80.559973561,3.457694,5.282668518545455,369460636363.6364,-1.0037355204545455,0.2193361263636363,0.993471600818182,0.1696351901818181,1.2284608646363635,0.2478980219999999,6.0681278707,4.721500819999999,30.651509115500915,39.05,20.78,5.220000000000001,82.36804878000001,8718718.181818182,665978.9090909091,0.6854493617272728,0.1501288198181818,1.5107954849,7.257133343378702
New Zealand,40.47449774,37.449257035,263310.0,1732.0,13.718853495818182,2.2066683118181816,0.1517449766363636,100.0,28.813333333333333,9154.433344333333,32237.2,82010.33595000001,18.071930424,2.0234010862727274,3.4628478166666667,2.9694618705,1.3183680058,44.165249747272725,27.648692485454543,32.54457475272727,1.6639835292727272,0.2315993255454545,0.7713821463333334,1.0,33.09519230769231,84.70017857285714,87.54634667,3.5863784,1.1198005406363636,207553454545.45456,1.4509945565454545,0.2080166772727272,1.8681884354545453,0.1598482254545454,1.9128211627272729,0.2258758191818181,5.5914130687000005,7.149555047777778,30.651509115500915,37.79023266955267,12.455,6.761,81.76253658499999,4791754.545454546,646772.6363636364,1.578622601181818,0.1375323194545454,1.24015893325,7.222216677029928
Australia,47.300609291,17.327868645,7688132.0,534.0,8.574578400181819,1.784651192818182,0.1432187082727272,100.0,9.525555555555556,10233.342196666666,390152.8666666666,623793.893988889,3.1680543709,2.296516187909091,4.338421475625,3.41625,1.951957524,53.15952924727273,22.444146822727276,27.39383135363636,1.553147381090909,0.2315993255454545,0.7846911639999999,14.0,33.09519230769231,88.25208333428573,88.034344698,3.7568322,1.891354751909091,1444231818181.818,0.942063998,0.2080166772727272,1.7030193261818185,0.1598482254545454,1.8467649221818183,0.2258758191818181,5.2424048425,7.043297555555556,30.651509115500915,34.13333333333333,12.69,6.529999999999999,82.599268293,24506823.09090909,3446559.1818181816,1.365804217090909,0.1382303981818181,0.9316903551,7.202066648165385
