,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides,Life_Evaluation_Avg
Afghanistan,58.278521381,1.852781994,652230.0,327.0,11.448425949333334,-1.4017918,0.1653721279090909,88.007175599,17.972,4462.942953169939,9909.722222222224,31466.177961111112,54.01238780800001,3.7659545735,12.214706188666668,6.514276678479875,0.9005630397763834,60.67456278832048,8.116527141166666,41.529613425,-1.4898475191818183,0.2498770004545454,0.3942577943333333,173.0,13.7,49.975297621428574,11.54606060611111,2.072171,1.1811458551,18763022167.4,-2.595124244727273,0.231126043,-1.6467074155454546,0.1676593247272727,-1.2238837045454547,0.1995284843636363,3.649473349333333,0.581622142,50.55,37.79023266955267,37.8082,7.2248,62.6899,35764888.0,26687436.272727277,-1.199990017909091,0.1313716070909091,6.800399368,2.836825001239777
South Sudan,44.856766176,11.32562151,631930.0,900.0,34.707990477,-1.7009842829090909,0.2011079923636363,5.3795144271,30.84111111111111,40.08136716,1659.9111111111113,52329.80232222223,17.112186951,79.27343493845454,-17.11805228,1.3561760624545456,0.9005630397763834,60.67456278832048,16.28807270553864,26.0776884800252,-2.192662575090909,0.2242097678181818,0.3048112733333333,185.0,9.2,29.72970238,4.0375,2.912295567023809,4.841591612,14079488698.25,-2.218732563,0.2822641282727272,-1.8852926491818185,0.2112808526363636,-1.8340618393636363,0.2081614626363636,1.3066880702,0.640807025,30.651509115500915,44.1,33.9226,10.9749,55.532500000000006,10822746.090909092,8721969.818181818,-1.7111641385454546,0.1507302847272727,14.05396733,3.269320016860962
Central African Republic,7.8703971237,35.969051976,622980.0,1343.0,24.32298834647432,-1.2140636119090908,0.1789856662727272,13.47297514,92.353,4462.942953169939,195.83333333333331,20969.484334444445,8.0578825965,4.885919849,5.687135995948968,6.514276678479875,0.9005630397763834,60.67456278832048,7.275880937444445,9.906504150555556,-1.7266030744545455,0.199795647090909,0.291631907,184.0,2.1,42.615,4.9357473572,2.336977333333333,1.799289775909091,2123436024.2727275,-2.109724369818182,0.2362519787272727,-1.7181915152727272,0.1556166736363636,-1.3869854644545454,0.1828466722727273,1.974797107909091,0.7583137811111111,30.651509115500915,43.0,41.9802,12.0473,53.0021,5070740.090909091,2983991.8181818184,-1.241153251,0.130435481090909,20.12040065,3.2726499891281136
Burundi,77.161214954,10.4889408105,25680.0,1274.0,12.210387031714284,-1.427478356909091,0.1689048720909091,8.4750634002,88.01,4462.942953169939,502.1184444444445,3710.324581111111,433.66739486,8.062211169181818,5.799148964363637,6.514276678479875,0.1600699985,60.67456278832048,16.28807270553864,26.0776884800252,-1.3072866634545457,0.1917833103636363,0.385248474,166.0,10.1,51.08321428571429,2.5769285978,2.18637775,2.3301185543636365,2724610222.5454545,-1.5389610744545457,0.2328847728181818,-1.2830415966363635,0.1513624639090909,-0.9164331555454546,0.1809507988181818,5.5391121387,2.3150949744444445,64.8,38.05,39.287400000000005,8.2142,60.7427,11295942.090909092,9846448.545454543,-1.3640545552727272,0.1291309243636363,5.1446423144,3.3315375032424925
Rwanda,80.170490474,11.029590596,24670.0,1212.0,16.53190566090909,0.5912526303636363,0.1652336986363636,31.721737778,84.91799999999999,4462.942953169939,1151.3533333333337,5709.034024222222,490.83671666,6.065189840727272,11.663405733909087,10.744463378272728,0.7040849925,60.67456278832048,14.006341172857145,18.72189338142857,0.0702450060909091,0.1887638337272727,0.3768215933333333,38.0,11.8,67.67166666571428,16.6743681277,2.757069,1.251679334909091,9520944381.90909,-0.0282129314545454,0.2316571013636363,0.0449466872727272,0.1486792401818182,0.047299692,0.1788024251818182,3.959583976090909,2.307101567777778,30.8,44.400000000000006,31.442,6.6065,65.5885,12260556.0,10148459.454545457,-1.111664408818182,0.1261051439090909,3.1130471342222226,3.4336999963124586
Tanzania,43.717497629,53.43000813,885800.0,1071.0,10.944596007777776,-0.5527169352727272,0.1346958245454545,30.159121476000003,85.50777777777779,98.97209593,11653.466666666667,80353.58989222223,62.578670468,5.852300457181818,9.822303603777778,5.382288511444445,0.514559984,60.67456278832048,11.13333741,14.78298186857143,-0.6780084182727273,0.179268841,0.392031926,141.0,18.8,62.23470238142857,14.531212902000002,2.6570063333333334,1.0408193965454544,56021483109.81818,-0.3818984803636363,0.2190533361818182,-0.4942599100909091,0.1399430863636363,-0.5318335620909092,0.1661114883636363,3.805482496,1.4159105355555557,30.651509115500915,40.5,37.862,6.746,65.10319999999999,56347237.36363637,37586163.0,-0.3916095291818182,0.1176027655454545,6.0081990396250005,3.598016675313314
Botswana,45.666437282,27.647645264,566730.0,416.0,12.256021356545457,0.7561825299999999,0.1452837818181818,65.15980351099999,26.13111111111111,1767.4242953333332,6418.299611111111,12649.648143333332,4.1992557301,4.892437952181819,2.623390058909091,6.514276678479875,0.414294988,17.619855084444442,24.110412135,29.645066476,0.3639300410909091,0.207528327,0.4168483336666666,87.0,33.09519230769231,57.09821428714286,46.990793523,2.86955825,2.847061369272727,16016235049.636364,1.038494874090909,0.2195927487272727,0.4521893533636363,0.1596392447272727,0.6217375939090909,0.2058806378181818,8.31119691,4.26300515,30.651509115500915,53.3,25.7472,7.5588,63.9113,2402612.5454545454,750565.5454545454,0.4603880997272727,0.1201134792727272,9.612937411,3.6494083296457926
Zimbabwe,41.87669639,45.510727673,386850.0,657.0,8.815117799888888,-1.3131139387272728,0.1359048817272727,43.089879054,81.01555555555555,606.1340904666666,10885.555555555557,28899.41863333333,37.767928138,93.49625148336364,-22.21751348463636,6.514276678479875,0.9005630397763834,60.67456278832048,14.811266555,21.329717294,-1.2984558994545454,0.1827111515454545,0.4563782266666666,140.0,8.1,60.06625,22.982835718,2.3183376,1.2916654325454546,22457631654.727272,-0.787691669090909,0.2190533361818182,-1.3839390493636363,0.1410179896363636,-1.619337753818182,0.1669538684545454,5.214761924599999,1.5946783755555556,30.651509115500915,47.3,33.2957,8.8286,59.5619,14765978.818181818,9984874.272727272,-1.2097671682727271,0.117630668,5.7068753424,3.6866833381652833
Malawi,61.307806533,25.336232499,94280.0,1181.0,5.8507848519,-0.6364283778181817,0.1381535774545454,11.77084222,77.027,4462.942953169939,1319.6822222222222,9118.161326555555,187.53897751,17.106287332818184,16.694344042363635,17.720979903636366,0.9005630397763834,33.4250474875,11.0734877744,14.008850775,-0.726131282090909,0.1834504602727272,0.410434115,109.0,19.0,58.36005952428572,9.930217044,2.737676333333333,0.6517413523636364,10037104128.09091,-0.1416615802727272,0.2229055046363636,-0.3005410244545454,0.1437959534545454,-0.7772339204545454,0.1678161743636363,3.257788828428571,1.6511219622222224,30.651509115500915,41.6,35.1984,7.718999999999999,61.98870000000001,17928824.09090909,14908662.454545457,-0.0502080705454545,0.1196621575454545,1.790613661,3.71600000890096
Togo,70.288655999,22.423791139,54390.0,1168.0,15.13963933,-0.7918469582727272,0.1497412038181818,47.762807388,77.7688888888889,144.6508423,2085.6111111111118,7193.891464555555,142.83104798,2.0852268723636365,4.060065033,6.514276678479875,0.1802100015,60.67456278832048,12.97076531125,12.747006435,-1.0443497246363636,0.1877856309090909,0.421886935,97.0,78.4,61.070714287142856,14.527744043000002,2.4932476,2.45549819,6757715852.545455,-0.5709708820909091,0.2257816914545454,-0.7295884761818182,0.1498217691818182,-0.7726096835454546,0.1745812010909091,3.806288719272728,1.03721589,30.651509115500915,41.16666666666666,33.8228,8.9717,59.8509,7866773.272727272,4616008.2727272725,-0.7578409585454545,0.1247436275454545,6.470445881890459,3.810766672452291
